country,activeworkers,keystrokes ,mouseevents,dayoftheweek,hour
Algeria,0.0090193089,149.2693933625,36.7505623032,5,20
Algeria,0.0090811966,117.9194733923,36.8519135017,5,21
Algeria,0.0089285714,97.7230374573,42.7697696422,5,22
Algeria,0.0090460526,81.7175930393,55.9934884366,5,23
Algeria,0.0091497748,68.9555437246,46.9361993575,6,0
Algeria,0.0076593137,103.5751072682,55.4942426348,6,1
Algeria,0.0069444444,88.6001420078,53.2977995435,6,2
Algeria,0.005952381,62.5059348059,25.80003182,6,3
Algeria,0.0056818182,23.960952381,25.7002380952,6,4
Algeria,0.0056818182,151.9703081232,17.9242697079,6,5
Algeria,0.0063657407,288.5782857143,4.882031746,6,6
Algeria,0.0066964286,260.8150003591,15.0368993751,6,7
Algeria,0.0074404762,335.965774011,17.5505427138,6,8
Algeria,0.0092329545,254.4367594108,28.5376035195,6,9
Algeria,0.009460034,258.9962487674,38.1292275075,6,10
Algeria,0.0107638889,264.9046476435,31.6326086359,6,11
Algeria,0.009672619,192.107820913,31.173476716,6,12
Algeria,0.0106646825,189.785748952,36.7724329001,6,13
Algeria,0.0114583333,238.8194840135,32.0907889931,6,14
Algeria,0.0113224638,231.5978512214,36.6760347781,6,15
Algeria,0.0106534091,198.2272626056,35.4063349725,6,16
Algeria,0.0104166667,233.9262541598,33.3574687009,6,17
Algeria,0.0096544715,189.8358200566,41.9049126472,6,18
Algeria,0.0110518293,178.0264887962,33.981257965,6,19
Algeria,0.0111788618,127.6688435969,39.4596656947,6,20
Algeria,0.0107142857,119.9068254619,37.6752550888,6,21
Algeria,0.0116071429,79.3582188587,36.4212341021,6,22
Algeria,0.009765625,122.9741930277,48.771478295,6,23
Argentina,0.0228846154,139.9055080082,36.4504500587,0,0
Argentina,0.017254902,122.2113361891,35.0842497076,0,1
Argentina,0.0125333333,84.7319066612,32.3342143888,0,2
Argentina,0.010212766,142.270282919,39.4018864812,0,3
Argentina,0.0081818182,153.0681267604,31.261338924,0,4
Argentina,0.0090972222,104.692542303,25.5339586142,0,5
Argentina,0.0112418301,110.9538814553,68.7708337417,0,6
Argentina,0.0148666667,118.5709271706,53.0213713427,0,7
Argentina,0.0402564103,90.0294674582,34.9214120649,0,8
Argentina,0.0879487179,107.6339101438,50.0072869769,0,9
Argentina,0.1123717949,135.7956232417,63.8419856289,0,10
Argentina,0.1192948718,144.6753635412,64.44659293,0,11
Argentina,0.1182692308,141.2952027941,61.6575857746,0,12
Argentina,0.1154487179,122.4286439378,51.3336351858,0,13
Argentina,0.1225641026,120.1123367781,57.6735999314,0,14
Argentina,0.1315384615,138.2403177988,61.493449085,0,15
Argentina,0.1294871795,150.5436453284,62.3547768609,0,16
Argentina,0.1205769231,155.2631681271,57.4238415237,0,17
Argentina,0.0936538462,165.8435275416,50.7604445479,0,18
Argentina,0.0683974359,167.1645151564,48.3298271892,0,19
Argentina,0.0563461538,171.2020409727,47.1768922541,0,20
Argentina,0.0477564103,156.2703601274,43.9985240381,0,21
Argentina,0.0436538462,145.6876917431,39.5093193964,0,22
Argentina,0.0398717949,191.8087827699,45.9281110058,0,23
Argentina,0.0367307692,163.4389940417,44.485884863,1,0
Argentina,0.0296794872,171.0272082157,43.8775100606,1,1
Argentina,0.0212418301,186.6150038919,47.1099049678,1,2
Argentina,0.0147058824,156.1311238619,42.1493931187,1,3
Argentina,0.0097674419,170.4171007016,36.4142834112,1,4
Argentina,0.0086111111,125.9463319686,37.8552992301,1,5
Argentina,0.0105128205,109.5483314777,67.7465536774,1,6
Argentina,0.0142948718,100.250837028,41.6771017422,1,7
Argentina,0.0450641026,82.5802612085,29.9070302337,1,8
Argentina,0.0942307692,110.0818766402,48.4197556545,1,9
Argentina,0.1177564103,139.5752292745,58.8828040772,1,10
Argentina,0.1279487179,147.4430513535,62.5906143143,1,11
Argentina,0.1248717949,139.4356502376,59.7040420315,1,12
Argentina,0.1226923077,123.7089228586,50.8474127914,1,13
Argentina,0.1297435897,125.7609351882,58.2783478778,1,14
Argentina,0.1385897436,134.4450668557,60.8537335618,1,15
Argentina,0.1349358974,148.5555267551,63.5224146431,1,16
Argentina,0.1248076923,149.2159251986,58.9216347413,1,17
Argentina,0.0965384615,153.2742116185,49.2317894295,1,18
Argentina,0.0708974359,151.1924200684,47.8771126408,1,19
Argentina,0.0579487179,156.4991637705,43.770744576,1,20
Argentina,0.0510897436,143.7594834457,41.5038632937,1,21
Argentina,0.0441666667,153.0910172522,39.3044221223,1,22
Argentina,0.0441025641,155.3363989994,43.3571785502,1,23
Argentina,0.0406410256,166.6717276913,43.6148879744,2,0
Argentina,0.03,155.8512065501,46.7641209037,2,1
Argentina,0.0210897436,148.1515555903,47.4223360259,2,2
Argentina,0.0144871795,138.7462476623,41.8838731908,2,3
Argentina,0.0101388889,134.5635035969,42.3739199804,2,4
Argentina,0.0090070922,129.8949209969,38.5908170223,2,5
Argentina,0.0111333333,125.1960650664,63.5111437595,2,6
Argentina,0.017,110.5169549232,46.0333709544,2,7
Argentina,0.0451923077,93.8780193078,33.1474853513,2,8
Argentina,0.0927564103,107.4891818185,48.425700875,2,9
Argentina,0.1153846154,136.8374343104,59.6544696379,2,10
Argentina,0.1252564103,143.193940137,62.5515467121,2,11
Argentina,0.1224358974,141.4354345924,58.69474244,2,12
Argentina,0.1214102564,127.3003944693,51.0021264591,2,13
Argentina,0.1317307692,133.7811061938,56.9872350263,2,14
Argentina,0.1396794872,143.3856223212,60.6495531185,2,15
Argentina,0.1362820513,151.4292563846,63.0153712446,2,16
Argentina,0.1221794872,150.9578545754,57.141627646,2,17
