Country,Day,Hour,Workers
Armenia,5,17,135.2115384615
Armenia,5,18,117.0192307692
Armenia,5,19,98.0576923077
Armenia,5,20,79.2115384615
Armenia,5,21,66.0384615385
Armenia,5,22,62.8846153846
Armenia,5,23,54.5
Armenia,6,0,44.5769230769
Armenia,6,1,32.4038461538
Armenia,6,2,22.7692307692
Armenia,6,3,16
Armenia,6,4,11.2692307692
Armenia,6,5,10.9230769231
Armenia,6,6,11.6538461538
Armenia,6,7,12.5192307692
Armenia,6,8,16.5769230769
Armenia,6,9,29.6730769231
Armenia,6,10,49.9038461538
Armenia,6,11,64.8846153846
Armenia,6,12,78.8461538462
Armenia,6,13,85.3269230769
Armenia,6,14,87.3269230769
Armenia,6,15,89.75
Armenia,6,16,85
Armenia,6,17,77.9807692308
Armenia,6,18,67.5384615385
Armenia,6,19,58.6730769231
Armenia,6,20,54.8653846154
Armenia,6,21,55.3076923077
Armenia,6,22,50.9615384615
Armenia,6,23,45.2307692308
Australia,0,0,39.5
Australia,0,1,31.7884615385
Australia,0,2,26.4807692308
Australia,0,3,24.5384615385
Australia,0,4,22.0576923077
Australia,0,5,20.1346153846
Australia,0,6,20.75
Australia,0,7,24.3076923077
Australia,0,8,29.7115384615
Australia,0,9,33.2307692308
Australia,0,10,38.9615384615
Australia,0,11,43.0769230769
Australia,0,12,48.1153846154
Australia,0,13,52.1153846154
Australia,0,14,52.4807692308
Australia,0,15,51.4038461538
Australia,0,16,56.2692307692
Australia,0,17,54.0384615385
Australia,0,18,52.3269230769
Australia,0,19,55.7115384615
Australia,0,20,60.4423076923
Australia,0,21,64.8846153846
Australia,0,22,55.8653846154
Australia,0,23,45.8076923077
Australia,1,0,37.75
Australia,1,1,31.5192307692
Australia,1,2,28.1923076923
Australia,1,3,25.0192307692
Australia,1,4,23.3846153846
Australia,1,5,24.0192307692
Australia,1,6,27.7307692308
Australia,1,7,38.3846153846
Australia,1,8,85.5192307692
Australia,1,9,132.3076923077
Australia,1,10,146
Australia,1,11,153.7307692308
Australia,1,12,149.5
Australia,1,13,149.6346153846
Australia,1,14,164.9807692308
Australia,1,15,178.3653846154
Australia,1,16,176.4807692308
Australia,1,17,158.4038461538
Australia,1,18,119.2692307692
Australia,1,19,113.6153846154
Australia,1,20,113.7692307692
Australia,1,21,115.7115384615
Australia,1,22,102.9807692308
Australia,1,23,80.5769230769
Australia,2,0,56.7692307692
Australia,2,1,45.5192307692
Australia,2,2,36.8461538462
Australia,2,3,32.6923076923
Australia,2,4,28.2307692308
Australia,2,5,27.5384615385
Australia,2,6,30.9423076923
Australia,2,7,41.5576923077
Australia,2,8,97.0192307692
Australia,2,9,152.3461538462
Australia,2,10,170.8846153846
Australia,2,11,174.6153846154
Australia,2,12,166.5384615385
Australia,2,13,163
Australia,2,14,177.2692307692
Australia,2,15,194.6153846154
Australia,2,16,191.6346153846
Australia,2,17,172.6153846154
Australia,2,18,126.5769230769
Australia,2,19,118.75
Australia,2,20,118.5961538462
Australia,2,21,114.5
Australia,2,22,109.3846153846
Australia,2,23,89.5576923077
Australia,3,0,62.0384615385
Australia,3,1,47.4038461538
Australia,3,2,39.1346153846
Australia,3,3,35.7692307692
Australia,3,4,31.8461538462
Australia,3,5,29.5769230769
Australia,3,6,32.5769230769
Australia,3,7,48.0384615385
Australia,3,8,106.4423076923
Australia,3,9,159.9423076923
Australia,3,10,177.1923076923
Australia,3,11,183.1923076923
Australia,3,12,170.1346153846
Australia,3,13,167.7692307692
Australia,3,14,185
Australia,3,15,200.8846153846
Australia,3,16,192.6730769231
Australia,3,17,166.8076923077
Australia,3,18,127.9615384615
Australia,3,19,118.1153846154
Australia,3,20,121.5192307692
Australia,3,21,123.6346153846
Australia,3,22,111.1730769231
Australia,3,23,86.4615384615
Australia,4,0,65
Australia,4,1,52.0769230769
Australia,4,2,43.1730769231
Australia,4,3,37.2692307692
Australia,4,4,31.1730769231
Australia,4,5,27.9038461538
Australia,4,6,33.8269230769
Australia,4,7,52.7692307692
Australia,4,8,109.0576923077
Australia,4,9,159.5769230769
Australia,4,10,175.8269230769
Australia,4,11,169.0384615385
Australia,4,12,166.0769230769
Australia,4,13,165.0961538462
Australia,4,14,177.6538461538
Australia,4,15,191.8076923077
Australia,4,16,190.8269230769
Australia,4,17,172.6153846154
Australia,4,18,130.8461538462
Australia,4,19,119.4615384615
Australia,4,20,121.6346153846
